Country,City,Venue,Year,Winner
Switzerland,Lugano,Teatro Kursaal,1956,https://youtu.be/11gRqqnYenA?si=YGTSwYBnG7KWhakm
Germany,Frankfurt-am-Main,Großer Sendesaal des Hessischen Rundfunks,1957,https://youtu.be/e5gLyP977ew?si=0iJ40tW0dgDqY6ZZ
Netherlands,Hilversum,AVRO Studios,1958,https://youtu.be/H2CQBXmgBmM?si=NPqdIh17Qf7f7-vW
France,Cannes,Palais des Festivals,1959,https://youtu.be/sQSnoIMHAxY?si=1iPH_fCDyQ062spj
United Kingdom,London,Royal Festival Hall,1960,https://youtu.be/Cesfh_Otp_o?si=4HqsDRK5SnsNOY6m
France,Cannes,Palais des Festivals,1961,https://youtu.be/g5ZDbEBt3iY?si=DJkl01oYy4mkW7IS
Luxembourg,Luxembourg City,Villa Louvigny,1962,https://youtu.be/Zk-ZiIwamHY?si=qBkT3ADOWxs231ac
United Kingdom,London,BBC Television Centre,1963,https://youtu.be/AYyhJvRE3mQ?si=Lwnww2KEIgzYHsLX
Denmark,Copenhagen,Tivolis Koncertsal,1964,https://youtu.be/Utd9cHBPfRA?si=s_OfLx34X6LqNsvE
Italy,Naples,Sala di Concerto della RAI,1965,https://youtu.be/7cv9NIzGmSI?si=H1NBb_9Dvns0jHQ2
Luxembourg,Luxembourg City,Villa Louvigny,1966,https://youtu.be/frtCOHgMvc8?si=cQs4brg66JM3b5R_
Austria,Vienna,Großer Festsaal der Wiener Hofburg,1967,https://youtu.be/OkbVhjxdr8A?si=OGDxiPYH9PJvOhmR
United Kingdom,London,Royal Albert Hall,1968,https://youtu.be/aCtQMDigns4?si=p_Io2qvBjRS71j0V
Spain,Madrid,Teatro Real,1969,https://youtube.com/playlist?list=PL7Ysmmax9Xhj90cIXmxddqd12jSzUVxyn&si=ihjFoabYPpvqEFOu
Netherlands,Amsterdam,RAI Congrescentrum,1970,https://youtu.be/ka5OfjwB3nM?si=iNZOJ9R3X1Ikc3Qj
Ireland,Dublin,Gaiety Theatre,1971,https://youtu.be/9oGow6SKPbc?si=1gFJhpnyJBEh_nUU
United Kingdom,Edinburgh,Usher Hall,1972,https://youtu.be/xTPVYktRl-I?si=kNRkDX0rTn28yGqF
Luxembourg,Luxembourg City,Théâtre Municipal,1973,https://youtu.be/JJ3GMasaMdI?si=uXingXCQfj84-_2i
United Kingdom,Brighton,Brighton Dome,1974,https://youtu.be/3FsVeMz1F5c?si=w7altoe7XDK1t9Ed
Sweden,Stockholm,St. Eriks Mässan,1975,https://youtu.be/UUNet0NF2DE?si=_lXQgWq0CahaCTZs
Netherlands,The Hague,Nederlands Congresgebouw,1976,https://youtu.be/fhq_Q1Ut8SQ?si=-EZThVFIA8-swHx5
United Kingdom,London,Wembley Conference Centre,1977,https://youtu.be/q5N6gL1AF_g?si=dlYQkpiHUoEwuSxw
France,Paris,Palais des Congrès,1978,https://youtu.be/pOH-sojmLJY?si=s7g7XbjPaZKqLiLJ
Israel,Jerusalem,International Convention Center,1979,https://youtu.be/jKbvuYRR35E?si=sN8ygeFjmRdMI3HD
Netherlands,The Hague,Nederlands Congresgebouw,1980,https://youtu.be/iaW9RCv4r-U?si=MJUVwhMGOBAPgXd5
Ireland,Dublin,RDS Simmonscourt Pavilion,1981,https://youtu.be/mpA5gECelwU?si=yrQ6YxuUz57Mrn4O
United Kingdom,Harrogate,Harrogate Conference Centre,1982,https://youtu.be/CJDxnWFqpiA?si=QKBGIBKbeLr3YIv0
Germany,Munich,Rudi-Sedlmayer-Halle,1983,https://youtu.be/Na18hSCM5QY?si=1goncqyX4w1NbRHK
Luxembourg,Luxembourg City,Théâtre Municipal,1984,https://youtu.be/qGvSWfDq1KI?si=FhOVCtQddjo4aaJe
Sweden,Gothenburg,Scandinavium,1985,https://youtu.be/6h2-QFbtXtM?si=HgQKdYCgp0KJpSWd
Norway,Bergen,Grieghallen,1986,https://youtu.be/AxWxqisw4_g?si=mVjQxb6xMJQq4CQd
Belgium,Brussels,Palais de Centenaire,1987,https://youtu.be/WJy9ZiliwwU?si=ktZ1dRthWB0t_JWR
Ireland,Dublin,RDS Simmonscourt Pavilion,1988,https://youtu.be/w6b7BHGkKQA?si=2vmDs1nZdwxeFLiQ
Switzerland,Lausanne,Palais de Beaulieu,1989,https://youtu.be/MAAAKi5B3yM?si=pl6k7GZU_FARTRbZ
Yugoslavia,Zagreb,Koncertna Dvorana Vatroslav Lisinski,1990,https://youtu.be/I2R1PtwNbsI?si=IwnWj2i9_B0-Gnmb
Italy,Rome,Studio 15 di Cinecittà,1991,https://youtu.be/ft1QeiAG2fg?si=wkMioO59iwQQatCO
Sweden,Malmö,Malmö Isstadion,1992,https://youtu.be/-g7Q7R3SIkI?si=tvJzYEed1oOhA4Iw
Ireland,Millstreet,Green Glens Arena,1993,https://youtu.be/ysLHYx0c80s?si=HZM8OlfHp3uLfQri
Ireland,Dublin,Point Theatre,1994,https://youtu.be/vj0mA7sqyn0?si=GL6WY19QK1QTuq4p
Ireland,Dublin,Point Theatre,1995,https://youtu.be/6qqOI04uo_c?si=_AeyhqJu8zpvlk_J
Norway,Oslo,Oslo Spektrum,1996,https://youtu.be/TpdRtIM45ts?si=Yb2XPD-StcgrT69s
Ireland,Dublin,Point Theatre,1997,https://youtu.be/u-o5v3wpI1o?si=ErvM_alq2NkQzT3s
United Kingdom,Birmingham,National Indoor Arena,1998,https://youtu.be/Fv83u7-mNWQ?si=00mH_oxFdFUg3DK3
Israel,Jerusalem,International Convention Center,1999,https://youtu.be/c242Ywv6gLk?si=u6GUtXQ1a672ROOc
Sweden,Stockholm,Globe Arena,2000,https://youtu.be/F-JwiYlg5Gc?si=0GY8hAuDVO4YsrhM
Denmark,Copenhagen,Parken Stadium,2001,https://youtu.be/wri72BfnGh4?si=XeW5pO6Cttm0SHfU
Estonia,Tallinn,Saku Suurhall,2002,https://youtu.be/_cCUrEIpSJQ?si=oaylsD6RMZPjApHU
Latvia,Riga,Skonto Olympic Hall,2003,https://youtu.be/vq9OAEBZmAg?si=5n8Z_0EjWaxLcmRq
Turkey,Istanbul,Abdi İpekçi Arena,2004,https://youtu.be/10XR67NQcAc?si=LcqeXNHRcAqjRlDk
Ukraine,Kyiv,Palace of Sports,2005,https://youtu.be/__R-r2t0vSU?si=5hOfrvkRJEtRgYME
Greece,Athens,Olympic Indoor Hall,2006,https://youtu.be/gAh9NRGNhUU?si=VxUx0cbJfI2W8rgC
Finland,Helsinki,Hartwall Arena,2007,https://youtu.be/FSueQN1QvV4?si=KzXUyP0-FShMIxSh
Serbia,Belgrade,Belgrade Arena,2008,https://youtu.be/-72s4WzUcKI?si=iOQzF0ji-5NVqppw
Russia,Moscow,Olimpiysky Arena,2009,https://youtu.be/WXwgZL4zx9o?si=_uU81XOCnVSxZlZw
Norway,Oslo,Telenor Arena,2010,https://youtu.be/7pL9vdpSvnY?si=m3nEkf2W8qsZVxKQ
Germany,Düsseldorf,Düsseldorf Arena,2011,https://youtu.be/q7BbJsOq-I8?si=upScWVoa4cA-XVyb
Azerbaijan,Baku,Baku Crystal Hall,2012,https://youtu.be/Pfo-8z86x80?si=nGa8QwbU2gsfatUZ
Sweden,Malmö,Malmö Arena,2013,https://youtu.be/k59E7T0H-Us?si=FlVaK64Uq1AULghg
Denmark,Copenhagen,B&W Hallerne,2014,https://youtu.be/8fvLtTRzdHw?si=VVxte0gG6p4Z_IJB
Austria,Vienna,Wiener Stadthalle,2015,https://youtu.be/5sGOwFVUU0I?si=sAmKUbKrBfPQsGDo
Sweden,Stockholm,Globe Arena,2016,https://youtu.be/VCG2rw4ZXTY?si=Gp1K2-VKMS2zE1q2
Ukraine,Kyiv,International Exhibition Centre,2017,https://youtu.be/ymFVfzu-2mw?si=xTtZvjc56MKhJFDH
Portugal,Lisbon,Lisbon Arena,2018,https://youtu.be/CziHrYYSyPc?si=-pXpFBxLyysZ0vrg
Israel,Tel Aviv,Expo Tel Aviv,2019,https://youtu.be/Eztx7Wr8PtE?si=w9bQBxOS7CsTz93j
Netherlands,Rotterdam,Rotterdam Ahoy,2020,
Netherlands,Rotterdam,Rotterdam Ahoy,2021,https://youtu.be/9mL6Cmkg2_A?si=eooaiEkvnLj404FQ
Italy,Turin,PalaOlimpico,2022,https://youtu.be/UiEGVYOruLk?si=45y24F4pNwoveQFb
United Kingdom,Liverpool,Liverpool Arena,2023,https://youtu.be/Vul5zgC5Yvg?si=xftOiu4hpN58dI1r
Sweden,Malmö,Malmö Arena,2024,