X,Y,DCGISPLACE_NAMES_PTNAME,DCGISADDRESSES_PTADDRESS,DCGISADDRESSES_PTWARD,MARVW_PLACE_NAME_CATEGORIESCATEGORY,DCGISPLACE_NAMES_PTSTATUS,DCGISPLACE_NAMES_PTPLACE_NAME_ID,DCGISPLACE_NAMES_PTMAR_ID,DCGISPLACE_NAMES_PTBEFORE_DATE,DCGISPLACE_NAMES_PTBEFORE_DATE_SOURCE,DCGISPLACE_NAMES_PTBEGIN_DATE,DCGISPLACE_NAMES_PTBEGIN_DATE_SOURCE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE_SOURCE,DCGISPLACE_NAMES_PTCREATED_DATE,DCGISPLACE_NAMES_PTCREATED_USER,DCGISPLACE_NAMES_PTLAST_EDITED_DATE,DCGISPLACE_NAMES_PTLAST_EDITED_USER,DCGISPLACE_NAMES_PTSE_ANNO_CAD_DATA,DCGISPLACE_NAMES_PTOBJECTID,DCGISADDRESSES_PTOBJECTID,DCGISADDRESSES_PTSE_ANNO_CAD_DATA,DCGISADDRESSES_PTSMD,DCGISADDRESSES_PTANC
-77.0095614422886,38.8981258068195,NATIONAL GUARD MEMORIAL MUSEUM,1 MASSACHUSETTS AVENUE NW,Ward 6,MUSEUM / ZOO,ACTIVE,12766,238009,,,,,,,2013/03/18 10:54:38+00,DAVID,,,,655939,6875056,,SMD 6E07,ANC 6E
-77.0327271303644,38.8866592695163,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,100 RAOUL WALLENBERG PLACE SW,Ward 2,MUSEUM / ZOO,ACTIVE,2990,293186,,,,,,,2005/08/12 16:06:07+00,OCTO GIS,,,,655994,6853389,,SMD 2A01,ANC 2A
-77.0259580820834,38.8887794709231,SMITHSONIAN INSTITUTION - CASTLE,1000 JEFFERSON DRIVE SW,Ward 2,MUSEUM / ZOO,ACTIVE,2991,293187,,,,,,,2005/08/12 16:06:07+00,OCTO GIS,,,,656007,6877273,,SMD 2C03,ANC 2C
-77.0259580820834,38.8887794709231,THE CASTLE,1000 JEFFERSON DRIVE SW,Ward 2,MUSEUM / ZOO,ACTIVE,9829,293187,,,,,,,2010/10/14 10:23:54+00,DARREN,,,,656008,6877273,,SMD 2C03,ANC 2C
-77.0261739630625,38.897553846948,MADAME TUSSAUDS,1001 F STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,10282,243407,,,,,,,2011/06/27 15:03:10+00,DAVID,,,,656026,6903187,,SMD 2C01,ANC 2C
-77.0264462667821,38.8879610402322,ARTHUR M. SACKLER GALLERY,1050 INDEPENDENCE AVENUE SW,Ward 2,MUSEUM / ZOO,ACTIVE,2995,293191,,,,,,,2005/08/12 16:06:07+00,OCTO GIS,,,,656305,6877274,,SMD 2C03,ANC 2C
-77.0268772306523,38.888565944615,S. DILLON RIPLEY CENTER,1100 JEFFERSON DRIVE SW,Ward 2,MUSEUM / ZOO,ACTIVE,9688,308882,,,,,,,2010/09/07 10:09:40+00,DARREN,,,,656444,6874737,,SMD 2C03,ANC 2C
-77.0381001942581,38.905163710092,EMBASSY OF AUSTRALIA,1145 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,17496,290192,,,,,,,2020/07/16 15:18:36+00,DAVID,,,,656703,6801604,,SMD 2C02,ANC 2C
-77.0381001942581,38.905163710092,NATIONAL GEOGRAPHIC MUSEUM,1145 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,9695,290192,,,,,,,2010/09/08 08:34:05+00,DARREN,,,,656704,6801604,,SMD 2C02,ANC 2C
-77.0381470897621,38.9059742663063,CHARLES SUMNER SCHOOL,1201 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,11282,301200,,,,,,,2011/10/13 10:05:20+00,DARREN,,,,656847,6902495,,SMD 2C02,ANC 2C
-77.0381470897621,38.9059742663063,CHARLES SUMNER SCHOOL MUSEUM & ARCHIVES,1201 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,18089,301200,,,,,,,2022/06/02 10:09:34+00,DAVID,,,,656848,6902495,,SMD 2C02,ANC 2C
-77.029144781682,38.9000666568483,NATIONAL MUSEUM OF WOMEN IN THE ARTS,1250 NEW YORK AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,206,279010,,,,,,,2005/05/12 00:00:00+00,Baker/Arcbridge,,,,657195,6812554,,SMD 2C01,ANC 2C
-77.0302141600362,38.8949473818548,NATIONAL CHILDRENS MUSUEM,1300 PENNSYLVANIA AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,17701,293198,,,,,,,2021/10/07 12:43:17+00,DAVID,,,,657341,6917901,,SMD 2C03,ANC 2C
-77.0445509925171,38.908052298028,HEURICH HOUSE MANSION,1307 NEW HAMPSHIRE AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,2954,241060,,,,,,,2005/08/12 12:56:54+00,OCTO GIS,2008/10/17 18:34:54+00,OCTO GIS DBA,,657435,6787960,,SMD 2B05,ANC 2B
-77.0445509925171,38.908052298028,CHRISTIAN HEURICH HOUSE MUSEUM,1307 NEW HAMPSHIRE AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,9803,241060,,,,,,,2010/10/13 10:24:44+00,DARREN,,,,657437,6787960,,SMD 2B05,ANC 2B
-77.0308656475862,38.908175805465,BETHUNE MEMORIAL MUSEUM,1318 VERMONT AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,15643,225385,,,,,,,2016/07/18 10:35:08+00,DAVID,,,,657554,6871402,,SMD 2F04,ANC 2F
-77.0327169095623,38.8910135623129,AFRICAN AMERICAN HISTORY MUSEUM,1400 CONSTITUTION AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,16028,310702,,,,,,,2017/11/06 07:15:46+00,DAVID,,,,657977,6889831,,SMD 2C03,ANC 2C
-77.0327169095623,38.8910135623129,NATIONAL MUSUEM OF AFRICAN AMERICAN HISTORY AND CULTURE,1400 CONSTITUTION AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,15654,310702,,,,,,,2016/09/06 14:12:30+00,DAVID,,,,657978,6889831,,SMD 2C03,ANC 2C
-77.0370010564739,38.9094633880993,L. RON HUBBARD HOUSE,1424 16TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,12534,242012,,,,,,,2012/09/14 13:35:06+00,DARREN,,,,658177,6788028,,SMD 2B04,ANC 2B
-77.0037567247783,38.8922719597704,SEWALL-BELMONT HOUSE,144 CONSTITUTION AVENUE NE,Ward 6,MUSEUM / ZOO,ACTIVE,16707,286201,,,,,,,2018/11/16 09:44:26+00,DAVID,,,,658283,6885040,,SMD 6C02,ANC 6C
-77.0037567247783,38.8922719597704,BELMONT-PAUL WOMENS EQUALITY NATIONAL MONUMENT,144 CONSTITUTION AVENUE NE,Ward 6,MUSEUM / ZOO,ACTIVE,16708,286201,,,,,,,2018/11/16 09:44:27+00,DAVID,,,,658284,6885040,,SMD 6C02,ANC 6C
-77.0341591442019,38.9083637038878,U.S. DAUGHTERS OF 1812 - 1812 LIBRARY AND MUSEUM,1463 RHODE ISLAND AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,11232,240224,,,,,,,2011/09/15 13:20:46+00,DARREN,,,,658452,6910019,,SMD 2F03,ANC 2F
-77.0355112137744,38.9065101932922,1500 MASS APARTMENTS,1500 MASSACHUSETTS AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,12135,242324,,,,,,,2012/07/23 13:18:27+00,OCTO GIS DBA,,,,658544,6873951,,SMD 2C02,ANC 2C
-77.0355065968507,38.9324381472643,POWHATAN MUSEUM,1519 MONROE STREET NW,Ward 1,MUSEUM / ZOO,ACTIVE,15646,234557,,,,,,,2016/07/18 10:40:55+00,DAVID,,,,658687,6882541,,SMD 1A05,ANC 1A
-77.0359467320217,38.9004498692013,ST. JOHN'S PARISH HOUSE,1525 H STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,8200,218329,,,,,,,2007/05/10 10:21:54+00,OCTO GIS,,,,658727,6783002,,SMD 2C02,ANC 2C
-77.0468545516689,38.9115097908593,THE PHILLIPS COLLECTION,1600 21ST STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,15352,243333,,,,,,,2016/05/12 10:26:06+00,DAVID,,,,658897,6840244,,SMD 2B02,ANC 2B
-77.0468545516689,38.9115097908593,PHILLIPS COLLECTION,1600 21ST STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,7577,243333,,,,,,,2006/08/13 16:48:39+00,OCTO GIS,2008/10/17 18:34:54+00,OCTO GIS DBA,,658898,6840244,,SMD 2B02,ANC 2B
-77.0372075947478,38.9053426334141,NATIONAL GEOGRAPHIC SOCIETY HEADQUARTERS,1600 M STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,7595,302627,,,,,,,2006/08/25 12:38:05+00,OCTO GIS,,,,658911,6878906,,SMD 2C02,ANC 2C
-77.0469371664484,38.9117755038038,PHILLIPS COLLECTION,1612 21ST STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,8392,302497,,,,,,,2007/05/10 10:21:54+00,OCTO GIS,,,,658969,6919707,,SMD 2B02,ANC 2B
-77.0450576009668,38.9138960864351,LAOGAI MUSEUM,1734 20TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,12533,285655,,,,,,,2012/09/14 13:33:51+00,DARREN,,,,659445,6792849,,SMD 2B01,ANC 2B
-77.0414586664707,38.8963508590385,OCTAGON HOUSE,1799 NEW YORK AVENUE NW,Ward 2,MUSEUM / ZOO,ACTIVE,141,218490,,,,,,,2005/05/12 00:00:00+00,Baker/Arcbridge,,,,659580,6912904,,SMD 2A01,ANC 2A
-77.042115780538,38.9128205972082,NATIONAL MUSEUM OF AMERICAN JEWISH MILITARY HISTORY,1811 R STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,2949,243292,,,,,,,2005/08/12 12:56:53+00,OCTO GIS,,,,659684,6875256,,SMD 2B03,ANC 2B
-77.0437358343298,38.9145959960391,L. RON HUBBARD HOUSE,1812 19TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,15353,240991,,,,,,,2016/05/12 10:30:10+00,DAVID,,,,659689,6810693,,SMD 2B01,ANC 2B
-77.0426025701069,38.8944528345871,INTERIOR MUSEUM,1849 C STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,13191,293214,,,,,,,2014/07/30 14:48:28+00,DAVID,,,,659963,6862334,,SMD 2A01,ANC 2A
-77.0426025701069,38.8944528345871,DEPARTMENT OF THE INTERIOR MUSEUM,1849 C STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,9699,293214,,,,,,,2010/09/08 08:40:50+00,DARREN,,,,659964,6862334,,SMD 2A01,ANC 2A
-76.9768453949637,38.8565805137252,ANACOSTIA COMMUNITY MUSEUM,1901 FORT PLACE SE,Ward 8,MUSEUM / ZOO,ACTIVE,9801,286524,,,,,,,2010/10/13 10:16:44+00,DARREN,,,,660058,6836011,,SMD 8B03,ANC 8B
-77.0253661260672,38.9164435426071,AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM,1925 VERMONT AVENUE NW,Ward 1,MUSEUM / ZOO,ACTIVE,12528,310615,,,,,,,2012/09/14 13:23:10+00,DARREN,,,,660183,6781035,,SMD 1B02,ANC 1B
-77.0081819062958,38.8981858172254,NATIONAL POSTAL MUSEUM,2 MASSACHUSETTS AVENUE NE,Ward 6,MUSEUM / ZOO,ACTIVE,3023,293217,,,,,,,2005/08/12 16:06:07+00,OCTO GIS,,,,660280,6878961,,SMD 6E07,ANC 6E
-77.010302678564,38.8653561965391,MATTHEW HENSON EARTH CONSERVATION CENTER,2000 HALF STREET SW,Ward 6,MUSEUM / ZOO,ACTIVE,10034,277758,,,,,,,2010/12/01 08:48:56+00,DARREN,,,,660353,6862841,,SMD 6D08,ANC 6D
-77.0414936407572,38.8928620851317,ART MUSEUM OF THE AMERICAS,201 18TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,3379,294191,,,,,,,2005/08/15 11:45:59+00,OCTO GIS,,,,660440,6878133,,SMD 2A01,ANC 2A
-77.0414936407572,38.8928620851317,OAS ART MUSEUM OF THE AMERICAS,201 18TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,11430,294191,,,,,,,2011/12/21 16:10:00+00,DAVID,,,,660441,6878133,,SMD 2A01,ANC 2A
-77.0459629303104,38.9124011601193,MARSHA MATEYKA GALLERY,2012 R STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,11239,242708,,,,,,,2011/10/03 16:49:46+00,DARREN,,,,660484,6863205,,SMD 2B02,ANC 2B
-77.0457115239663,38.9083686733258,O STREET MUSEUM FOUNDATION,2016 O STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,14676,242704,,,,,,,2015/05/12 15:42:01+00,DAVID,,,,660507,6809247,,SMD 2B05,ANC 2B
-77.045858310324,38.9083923077571,O STREET MUSEUM FOUNDATION,2020 O STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,12535,243057,,,,,,,2012/09/14 13:46:48+00,DARREN,,,,660541,6809248,,SMD 2B05,ANC 2B
-77.0473702090563,38.9124278032312,FONDO DEL SOL VISUAL ARTS CENTER,2112 R STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,12530,242393,,,,,,,2012/09/14 13:28:03+00,DARREN,,,,660840,6825040,,SMD 2B02,ANC 2B
-77.0511810939066,38.9153708418961,NATIONAL MUSEUM OF THE JEWISH PEOPLE,2312 CALIFORNIA STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,15641,234961,,,,,,,2016/07/18 10:26:50+00,DAVID,,,,661433,6836975,,SMD 2D02,ANC 2D
-77.0510982872508,38.9138996364093,MARTHA TUCKER HOUSE,2320 S STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,8278,243164,,,,,,,2007/05/10 10:21:54+00,OCTO GIS,,,,661457,6800178,,SMD 2D02,ANC 2D
-77.0887809936663,38.9219119749913,KREEGER MUSEUM,2401 FOXHALL ROAD NW,Ward 3,MUSEUM / ZOO,ACTIVE,2948,271251,,,,,,,2005/08/12 12:56:53+00,OCTO GIS,,,,661596,6811369,,SMD 3D07,ANC 3D
-77.0200330040613,38.9242887596817,HOWARD UNIVERSITY GALLERY OF ART,2449 6TH STREET NW,Ward 1,MUSEUM / ZOO,ACTIVE,15354,311626,,,,,,,2016/05/17 10:37:00+00,DAVID,,,,661730,6894290,,SMD 1E05,ANC 1E
-77.0558676658036,38.9108610115246,DUMBARTON HOUSE,2715 Q STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,2955,273151,,,,,,,2005/08/12 12:56:54+00,OCTO GIS,,,,662241,6801054,,SMD 2E07,ANC 2E
-77.0231594748953,38.9267655595328,THE HISTORY OF CANNABIS MUSEUM,2822 GEORGIA AVENUE NW,Ward 1,MUSEUM / ZOO,ACTIVE,16698,232586,,,,,,,2018/10/16 14:02:46+00,DAVID,,,,662446,6836374,,SMD 1E05,ANC 1E
-77.0360366534419,38.925552300777,MEXICAN CULTURAL INSTITUTE,2829 16TH STREET NW,Ward 1,MUSEUM / ZOO,ACTIVE,2965,235878,,,,,,,2005/08/12 12:56:54+00,OCTO GIS,,,,662459,6892083,,SMD 1A01,ANC 1A
-77.054380144159,38.9306149042781,NATIONAL ZOO,3001 CONNECTICUT AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,3039,293230,,,,,,,2005/08/12 16:06:07+00,OCTO GIS,,,,662681,6866994,,SMD 3C03,ANC 3C
-77.054380144159,38.9306149042781,SMITHSONIAN NATIONAL ZOOLOGICAL PARK,3001 CONNECTICUT AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,11250,293230,,,,,,,2011/10/12 13:41:19+00,DARREN,,,,662682,6866994,,SMD 3C03,ANC 3C
-77.054380144159,38.9306149042781,NATIONAL ZOO VISITOR CENTER,3001 CONNECTICUT AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,7153,293230,,,,,,,2006/05/14 03:29:05+00,OCTO GIS DBA,,,,662683,6866994,,SMD 3C03,ANC 3C
-77.0869570113552,38.9392125518996,AMERICAN UNIVERSITY MUSEUM,3500 NEBRASKA AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,12529,223996,,,,,,,2012/09/14 13:24:06+00,DARREN,,,,664118,6834818,,SMD 3E07,ANC 3E
-76.9698926623556,38.9124105566893,THE NATIONAL BONSAI & PENJING MUSEUM,3501 NEW YORK AVENUE NE,Ward 5,MUSEUM / ZOO,ACTIVE,15638,293238,,,,,,,2016/07/18 10:17:19+00,DAVID,,,,664131,6803549,,SMD 5C04,ANC 5C
-77.0049112792347,38.9376875308893,NATIONAL SHRINE OF SAINT JOHN PAUL II,3900 HAREWOOD ROAD NE,Ward 5,MUSEUM / ZOO,ACTIVE,13070,288031,,,,,,,2014/04/29 14:46:05+00,DAVID,,,,664930,6877303,,SMD 5A05,ANC 5A
-77.0171400288656,38.8848382193996,MUSEUM OF THE BIBLE,400 4TH STREET SW,Ward 6,MUSEUM / ZOO,ACTIVE,16029,311513,,,,,,,2017/11/06 07:20:34+00,DAVID,,,,665074,6902225,,SMD 6D02,ANC 6D
-77.0171400288656,38.8848382193996,BIBLE MUSEUM,400 4TH STREET SW,Ward 6,MUSEUM / ZOO,ACTIVE,16030,311513,,,,,,,2017/11/06 07:20:34+00,DAVID,,,,665075,6902225,,SMD 6D02,ANC 6D
-77.0232235855586,38.8952218443935,STABLES ART CENTER,410 8TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,1085,279758,,,,,,,2005/08/03 12:32:04+00,OCTO GIS,2008/10/17 18:34:54+00,OCTO GIS DBA,,665251,6790956,,SMD 2C03,ANC 2C
-77.0526196505072,38.9436417119432,HILLWOOD MUSEUM,4155 LINNEAN AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,2833,284839,,,,,,,2005/08/12 12:56:49+00,OCTO GIS,,,,665337,6902417,,SMD 3F03,ANC 3F
-77.0526196505072,38.9436417119432,HILLWOOD ESTATE MUSEUM AND GARDENS,4155 LINNEAN AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,16316,284839,,,,,,,2018/03/08 13:14:24+00,DAVID,,,,665338,6902417,,SMD 3F03,ANC 3F
-77.0402065087189,38.8948675284106,AMERICAN RED CROSS COMPASSION CENTER,430 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,7035,300987,,,,,,,2006/04/08 05:38:56+00,OCTO GIS,2008/10/17 18:34:54+00,OCTO GIS DBA,,665500,6840478,,SMD 2A01,ANC 2A
-77.0216959373764,38.8958679480166,CLARA BARTON MISSING SOLDIERS OFFICE MUSEUM,437 7TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,16177,279777,,,,,,,2018/01/30 12:36:44+00,DAVID,,,,665619,6813152,,SMD 2C03,ANC 2C
-77.088417131287,38.9390892139088,AMERICAN UNIVERSITY PRESIDENT'S OFFICE BUILDING,4400 MASSACHUSETTS AVENUE NW,Ward 3,MUSEUM / ZOO,ACTIVE,9718,223994,,,,,,,2010/09/10 12:12:50+00,DARREN,,,,665660,6797227,,SMD 3E07,ANC 3E
-77.0178616750704,38.8959636355524,NATIONAL LAW ENFORCEMENT MUSEUM,444 E STREET NW,Ward 6,MUSEUM / ZOO,ACTIVE,16697,306555,,,,,,,2018/10/16 14:01:21+00,DAVID,,,,665705,6810015,,SMD 6E08,ANC 6E
-77.0990925904742,38.9214335412034,CONDUIT ROAD SCHOOLHOUSE,4954 MACARTHUR BOULEVARD NW,Ward 3,MUSEUM / ZOO,ACTIVE,2947,276372,,,,,,,2005/08/12 12:56:53+00,OCTO GIS,,,,666121,6841418,,SMD 3D05,ANC 3D
-77.0397427362214,38.89585446382,CORCORAN MUSEUM AND COLLEGE OF ART + DESIGN,500 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,2939,279802,,,,,,,2005/08/12 12:56:53+00,OCTO GIS,2008/10/17 18:34:53+00,OCTO GIS DBA,,666155,6827503,,SMD 2A01,ANC 2A
-77.0397427362214,38.89585446382,LUTHER W. BRADY ART GALLERY,500 17TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,17862,279802,,,,,,,2022/05/13 10:14:24+00,DAVID,,,,666156,6827503,,SMD 2A01,ANC 2A
-77.0257782879355,38.8968023670295,FORDS THEATRE TICKET OFFICE,517 10TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,15064,297633,,,,,,,2015/12/10 15:00:52+00,DAVID,,,,666343,6876528,,SMD 2C03,ANC 2C
-77.0516860551063,38.9599636804434,ROCK CREEK PARK NATURE CENTER & PLANETARIUM,5200 GLOVER ROAD NW,Ward 3,MUSEUM / ZOO,ACTIVE,9336,308551,,,,,,,2010/08/02 13:30:44+00,DAVID,,,,666374,6828040,,SMD 3F03,ANC 3F
-77.0148968973889,38.8970250566587,CAPITOL JEWISH MUSEUM,575 3RD STREET NW,Ward 6,MUSEUM / ZOO,ACTIVE,18090,314514,,,,,,,2022/06/02 12:04:12+00,DAVID,,,,666925,6899298,,SMD 6E08,ANC 6E
-77.0148968973889,38.8970250566587,LILLIAN & ALBERT SMALL CAPITAL JEWISH MUSEUM,575 3RD STREET NW,Ward 6,MUSEUM / ZOO,ACTIVE,18091,314514,,,,,,,2022/06/02 12:04:12+00,DAVID,,,,666926,6899298,,SMD 6E08,ANC 6E
-77.0215111603777,38.8970454657431,NATIONAL MUSEUM OF CRIME & PUNISHMENT,575 7TH STREET NW,Ward 2,MUSEUM / ZOO,ACTIVE,9053,279832,,,,,,,2010/06/24 15:41:57+00,DAVID,,,,666927,6814061,,SMD 2C03,ANC 2C
-77.0113968156725,38.8794787496571,RUBELL MUSEUM DC,65 I STREET SW,Ward 6,MUSEUM / ZOO,ACTIVE,23042,294466,,,,,,,2023/01/31 14:19:44+00,DAVID,,,,667292,6876964,,SMD 6D02,ANC 6D
-77.0198284196538,38.8881939566969,NATIONAL AIR AND SPACE MUSEUM,655 JEFFERSON DRIVE SW,Ward 2,MUSEUM / ZOO,ACTIVE,17353,330977,,,,,,,2020/01/24 08:58:18+00,DAVID,,,,667318,6900843,,SMD 2C03,ANC 2C
-77.0198284196538,38.8881939566969,ALBERT EINSTEIN PLANETARIUM,655 JEFFERSON DRIVE SW,Ward 2,MUSEUM / ZOO,ACTIVE,17354,330977,,,,,,,2020/01/24 08:58:19+00,DAVID,,,,667319,6900843,,SMD 2C03,ANC 2C
-77.0198284196538,38.8881939566969,AIR AND SPACE MUSEUM,655 JEFFERSON DRIVE SW,Ward 2,MUSEUM / ZOO,ACTIVE,17355,330977,,,,,,,2020/01/24 08:59:01+00,DAVID,,,,667320,6900843,,SMD 2C03,ANC 2C
