rams_score,other_team,opponent_score,stadium
107,james blond supercity rangers,114,Waitakere Trust Stadium
99,taylor hawks,87,Pettigrew Green Arena
85,wellington saints,94,Cowles Stadium
114,mike pero nelson giants,80,Trafalgar Centre
88,james blond supercity rangers,86,Cowles Stadium
104,wellington saints,114,TSB Arena
95,taranaki airs,82,Cowles Stadium
79,wellington saints,102,TSB Arena
82,mike pero nelson giants,92,Cowles Stadium
106,taylor hawks,89,Pettigrew Green Arena
94,sit zero fees southland sharks,105,ILT Stadium Southland
90,taranaki airs,71,TSB Arena
79,sit zero fees southland sharks,93,Cowles Stadium
91,taylor hawks,83,Cowles Stadium
79,sit zero fees southland sharks,71,Cowles Stadium
101,taranaki airs,70,Cowles Stadium
91,mike pero nelson giants,90,Cowles Stadium
82,james blond supercity rangers,102,Waitakere Trust Stadium
73,wellington saints,94,ASB Baypark Arena